,hours,ratio
0,1,0.725925189017111
1,2,0.900164744645799
2,3,0.9242953020134228
3,4,0.8998831320607713
4,5,0.9427662957074722
5,6,0.9156891495601173
6,7,0.6220282531296658
7,8,0.48393378773125606
8,9,0.3945141661912911
9,10,0.3912887774743722
10,11,0.4531641761107211
11,12,0.5052454204489862
12,13,0.4826447985971427
13,14,0.4867333846548627
14,15,0.4638600835783934
15,16,0.5206248610184567
16,17,0.6451634739050971
17,18,0.4778700945811778
18,19,0.34535422996961457
19,20,0.31419325707405177
20,21,0.3246313354537569
21,22,0.32337565347274083
22,23,0.32015685567474983
23,0,0.34940195723088074
